station_id,time_checked,num_bikes_avail,num_bikes_disabled,num_docks_avail,num_docks_disabled,station_status
7002,2023-11-24 21:18:59,9,9,1,0,IN_SERVICE
7008,2023-11-24 21:18:59,13,4,2,0,IN_SERVICE
7023,2023-11-24 21:18:59,1,8,2,0,IN_SERVICE
7058,2023-11-24 21:18:59,15,4,0,0,IN_SERVICE
7063,2023-11-24 21:18:59,7,16,0,0,IN_SERVICE
7066,2023-11-24 21:18:59,10,6,1,0,IN_SERVICE
7078,2023-11-24 21:18:59,4,8,1,2,IN_SERVICE
7155,2023-11-24 21:18:59,1,17,1,0,IN_SERVICE
7170,2023-11-24 21:18:59,9,6,0,0,IN_SERVICE
7190,2023-11-24 21:18:59,11,1,3,0,IN_SERVICE
7191,2023-11-24 21:18:59,1,9,1,0,IN_SERVICE
7195,2023-11-24 21:18:59,0,11,0,0,IN_SERVICE
7250,2023-11-24 21:18:59,10,5,1,0,IN_SERVICE
7252,2023-11-24 21:18:59,0,18,0,0,IN_SERVICE
7273,2023-11-24 21:18:59,1,17,1,1,IN_SERVICE
7274,2023-11-24 21:18:59,11,4,1,0,IN_SERVICE
7285,2023-11-24 21:18:59,15,20,1,0,IN_SERVICE
7335,2023-11-24 21:18:59,2,14,3,0,IN_SERVICE
7358,2023-11-24 21:18:59,8,8,0,1,IN_SERVICE
7457,2023-11-24 21:18:59,16,7,0,0,IN_SERVICE
7600,2023-11-24 21:18:59,7,13,0,0,IN_SERVICE
7667,2023-11-24 21:18:59,14,21,0,0,IN_SERVICE
7762,2023-11-24 21:18:59,10,3,1,0,IN_SERVICE
7002,2023-11-24 21:31:25,10,8,1,0,IN_SERVICE
7008,2023-11-24 21:31:25,14,3,2,0,IN_SERVICE
7023,2023-11-24 21:31:25,2,7,2,0,IN_SERVICE
7058,2023-11-24 21:31:25,16,3,0,0,IN_SERVICE
7063,2023-11-24 21:31:25,9,14,0,0,IN_SERVICE
7066,2023-11-24 21:31:25,9,7,1,0,IN_SERVICE
7078,2023-11-24 21:31:25,5,7,1,2,IN_SERVICE
7155,2023-11-24 21:31:25,1,17,1,0,IN_SERVICE
7170,2023-11-24 21:31:25,10,5,0,0,IN_SERVICE
7190,2023-11-24 21:31:25,9,2,4,0,IN_SERVICE
7191,2023-11-24 21:31:25,1,9,1,0,IN_SERVICE
7195,2023-11-24 21:31:25,0,11,0,0,IN_SERVICE
7250,2023-11-24 21:31:25,8,7,1,0,IN_SERVICE
7252,2023-11-24 21:31:25,0,18,0,0,IN_SERVICE
7273,2023-11-24 21:31:25,0,18,1,1,IN_SERVICE
7274,2023-11-24 21:31:25,11,4,1,0,IN_SERVICE
7285,2023-11-24 21:31:25,14,21,1,0,IN_SERVICE
7335,2023-11-24 21:31:25,2,14,3,0,IN_SERVICE
7358,2023-11-24 21:31:25,8,8,0,1,IN_SERVICE
